ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes,hatespeech_trans,counterspeech_trans,sim
1326155226412314629,A3G1FS1OIFEDKD,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप बिना सबूत के आरोप लगा रहे हैं। कृपया किसी भी परेशानी को भड़काने से पहले शांत हो जाएं।,['Warning-of-Consequences'],Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",আপনি প্রমাণ ছাড়াই অভিযোগ করছেন। কোনও সমস্যা উস্কে দেওয়ার আগে দয়া করে শান্ত হন।,0.97433627
1326155226412314629,A3G1FS1OIFEDKD,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप एक कंपनी के लिए नफरत से भरे हुए हैं। जब अच्छे सौदे हों तो लोग खरीदना क्यों बंद कर दें। समझाने की परवाह?,"['Hypocrisy', 'Shaming']",Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে","আপনি একটি সংস্থার জন্য ঘৃণা পূর্ণ। যখন ভাল চুক্তি হয়, লোকেরা কেন কেনা বন্ধ করবে? ব্যাখ্যা করার যত্ন?",0.97433627
1326155226412314629,A1K5CHKFJJ7IF8,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप अपने शब्द सुधार लीजिये वरना सबसे पहले आपका बहिष्कार हो जायेगा।,['Shaming'],Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",আপনি আপনার শব্দের উন্নতি করুন অন্যথায় আপনি প্রথমে বয়কট করা হবে।,0.97433627
1326155226412314629,A1K5CHKFJJ7IF8,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",अनुचित बात बोल के विवाद को बुलावा दे रहे है।,['Warning-of-Consequences'],Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",অনুপযুক্ত জিনিসগুলি কথা বলার বিতর্ককে ডেকে আনছে।,0.97433627
1317839390429736960,A3D81Z9GMEKTJQ,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,आपके ट्वीट पवित्र मदरसों के प्रति अत्यधिक आपत्तिजनक हैं। मैं आपसे विनम्र निवेदन करता हूं कि इस तरह के ट्वीट पोस्ट करने से बचें।,['Empathy'],Hate,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,আপনার টুইটগুলি পবিত্র মাদ্রাসাতে অত্যন্ত আপত্তিজনক। আমি বিনীতভাবে আপনাকে এই জাতীয় টুইটগুলি পোস্ট করা এড়াতে অনুরোধ করছি।,0.9999999
1317839390429736960,A3D81Z9GMEKTJQ,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,धार्मिक संस्थाओं का सम्मान किया जाना चाहिए और आपके ट्वीट मुस्लिम समुदाय के प्रति अत्यधिक अपमानजनक और आपत्तिजनक हैं। मेरा सुझाव है कि आप शांत हो जाएं और इस तरह के कृत्यों में भाग लेने से बचें।,['Shaming'],Hate,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,ধর্মীয় প্রতিষ্ঠানগুলিকে সম্মান করা উচিত এবং আপনার টুইটগুলি মুসলিম সম্প্রদায়ের কাছে অত্যন্ত অবমাননাকর এবং আপত্তিজনক। আমি আপনাকে পরামর্শ দিচ্ছি যে আপনি শান্ত হন এবং এই জাতীয় ক্রিয়াকলাপে অংশ নেওয়া এড়াতে পারেন।,0.9999999
1317839390429736960,A3G1FS1OIFEDKD,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,हम एक विविध समाज में रहते हैं जहां विभिन्न मान्यताओं के लोग हैं। आपके हैशटैग धर्मों के बीच नफरत फैलाएंगे।,['Warning-of-Consequences'],Hate,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,আমরা একটি বিচিত্র সমাজে বাস করি যেখানে বিভিন্ন বিশ্বাসের লোক রয়েছে। আপনার হ্যাশট্যাগগুলি ধর্মগুলির মধ্যে বিদ্বেষ ছড়িয়ে দেবে।,0.9999999
1317839390429736960,A3G1FS1OIFEDKD,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,बिना सबूत के हैशटैग बनाना दिखाता है कि किसी समुदाय का अपमान करने के लिए आप कितने सतही और बेताब हैं।,"['Hypocrisy', 'Shaming']",Hate,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,প্রমাণ ছাড়াই একটি হ্যাশট্যাগ তৈরি করা দেখায় যে কোনও সম্প্রদায়কে অপমান করার জন্য আপনি কতটা পৃষ্ঠপোষক এবং মরিয়া।,0.9999999
1285115080833527809,A11W0WTHM4U2G0,<user> कोई भी हिंदु महिला जब मुस्लिम. या ईसाई मत वाले से शादी करलेती थी तो #हिन्दु_समाज उसे रंडी ही कहता था और वहां महिला की इज्जत है मगर वह #पैरो_की_जूती की जितनी हॊती है तो प्रतिकार नही किया जाता था?,किस भी स्त्री के लिए ऐसे अपशब्दों का इस्तेमाल करना सही नहीं है ।,['Warning-of-Consequences'],Offensive,"<user> কোনও মুসলিম যখন কোনও হিন্দু মহিলা। বা যখন তিনি কোনও খ্রিস্টান মতামতকে বিয়ে করতেন, #হিন্ডাস_সামাজ তাকে বেশ্যা বলতেন এবং মহিলার প্রতি শ্রদ্ধা রাখতেন, তবে তিনি যদি #PARO_KI এর মতো হন তবে তাকে প্রতিশোধ নেওয়া হয়নি।",কোনও মহিলার পক্ষে এই জাতীয় আপত্তিজনক শব্দ ব্যবহার করা ঠিক নয়।,0.91185135
1285115080833527809,A11W0WTHM4U2G0,<user> कोई भी हिंदु महिला जब मुस्लिम. या ईसाई मत वाले से शादी करलेती थी तो #हिन्दु_समाज उसे रंडी ही कहता था और वहां महिला की इज्जत है मगर वह #पैरो_की_जूती की जितनी हॊती है तो प्रतिकार नही किया जाता था?,हमें विवाह करते वक्त लोगों का धर्म नहीं चरित्र देखना चाहिए ।,['Warning-of-Consequences'],Offensive,"<user> কোনও মুসলিম যখন কোনও হিন্দু মহিলা। বা যখন তিনি কোনও খ্রিস্টান মতামতকে বিয়ে করতেন, #হিন্ডাস_সামাজ তাকে বেশ্যা বলতেন এবং মহিলার প্রতি শ্রদ্ধা রাখতেন, তবে তিনি যদি #PARO_KI এর মতো হন তবে তাকে প্রতিশোধ নেওয়া হয়নি।",আমাদের বিয়ে করার সময় মানুষের ধর্ম নয় এমন চরিত্রটি দেখা উচিত।,0.91185135
1285115080833527809,A3G1FS1OIFEDKD,<user> कोई भी हिंदु महिला जब मुस्लिम. या ईसाई मत वाले से शादी करलेती थी तो #हिन्दु_समाज उसे रंडी ही कहता था और वहां महिला की इज्जत है मगर वह #पैरो_की_जूती की जितनी हॊती है तो प्रतिकार नही किया जाता था?,"प्रत्येक व्यक्ति को किसी भी धर्म से विवाह करने का अधिकार होना चाहिए, चाहे वह किसी भी धर्म का हो।",['Affliation'],Offensive,"<user> কোনও মুসলিম যখন কোনও হিন্দু মহিলা। বা যখন তিনি কোনও খ্রিস্টান মতামতকে বিয়ে করতেন, #হিন্ডাস_সামাজ তাকে বেশ্যা বলতেন এবং মহিলার প্রতি শ্রদ্ধা রাখতেন, তবে তিনি যদি #PARO_KI এর মতো হন তবে তাকে প্রতিশোধ নেওয়া হয়নি।",প্রত্যেক ব্যক্তির যে কোনও ধর্ম নির্বিশেষে যে কোনও ধর্মকে বিয়ে করার অধিকার থাকা উচিত।,0.91185135
