INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,HATE_SPEECH_Beng,Counter_SPEECH_Beng
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1,জলবায়ু পরিবর্তন সম্পর্কে এই বুলশিটকে জোর দেওয়ার পরিবর্তে মহাসাগরে 90%+ দূষণের জন্য দায়ী এই এশীয় এবং আফ্রিকান দেশগুলির সাথে জাতিসংঘের সাথে কথা বলতে পারে।,"আপনি ঠিক বলেছেন, সমুদ্রের দূষণ হ'ল আমরা যে প্রধান পরিবেশগত সমস্যাগুলির মুখোমুখি হয়েছি তার মধ্যে একটি, তবে জলবায়ু পরিবর্তন একটি বিশ্বব্যাপী সমস্যা এবং প্রত্যেকেরই এটির বিরুদ্ধে লড়াই করতে সহায়তা করা উচিত, আপনি যে পৃথিবীতে এসেছেন তা বিবেচনা করেই!"
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,আপনি সরকারী ব্যয় নিয়ে উদ্বিগ্ন বলে মনে করছেন ... এটি আসলে দেখানো হয়েছে যে সময়ের সাথে সাথে মাইগ্রেশন সরকারী ব্যয়ের উপর চাপ হ্রাস করে - কারণ অভিবাসীরা তরুণ প্রাপ্তবয়স্ক কর্মী হওয়ার সম্ভাবনা বেশি থাকে। https://migrationobservery.ox.ac.uk/resources/briefings/the-fiscal-impact-of-imigration-in-the-uk/
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1,"ইহুদিরা দেশপ্রেমিক হতে পারে না, যেহেতু তাদের আনুগত্য সর্বদা ইস্রায়েলের রাজ্যে থাকবে।",আপনার বাবা -মা এবং দাদা -দাদি অন্য কোথাও জন্মগ্রহণ করতে পারেন এবং আপনি যে দেশে জন্মগ্রহণ করেছেন তার জন্য এখনও দেশপ্রেমিক হতে পারেন।
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1,"মহিলারা মূলত শিশুদের মতো, তারা তাদের জীবনের বেশিরভাগ সময় এভাবে থাকে। নরম এবং সংবেদনশীল। এটি আমাদের একসময় মহান পিতৃতান্ত্রিক সভ্যতা ধ্বংস করে দিয়েছে।",আপনি কি সেই মহিলাদের কাছে একই কথা বলবেন যারা আপনাকে জীবন দিয়েছে বা আপনাকে হাসপাতালে আচরণ করেছে বা আপনাকে স্কুলে শিখিয়েছে?
6,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,"""বিদেশীরা"" করের ক্ষেত্রে যুক্তরাজ্যকে কত টাকা দিচ্ছে তা দেখার জন্য অন্তর্বর্তী হবে। আমাদের তাদের জন্য কতটা ধন্যবাদ জানাতে হবে তা দেখতে অসুবিধা হয় না। পরিবর্তে ট্যাক্স ফাঁকি দেওয়া বন্ধ করার দিকে মনোনিবেশ করার জন্য প্রত্যেকের পক্ষে উপকারী।"
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",POC,V1,"জাতি একটি সামাজিক গঠন, এবং আপনি যদি এই দুই মহিলার মধ্যে কোনও পার্থক্য দেখেন তবে এটি আপনার মানসিক অসুস্থতা রয়েছে বলে। [একটি স্বর্ণকেশী, ইউরোপীয় মহিলা অ্যাথলিটকে দেখানো চিত্র, ঠোঁটের প্লেট পরা একজন আফ্রিকান মহিলার চিত্রের বিরুদ্ধে জাস্টসপোজ করা হয়েছে]","মহিলারা বিশ্বজুড়ে মহিলা, পুরো স্টপ।"
9,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,WOMEN,V1,"মহিলারা মূলত শিশুদের মতো, তারা তাদের জীবনের বেশিরভাগ সময় এভাবে থাকে। নরম এবং সংবেদনশীল। এটি আমাদের একসময় মহান পিতৃতান্ত্রিক সভ্যতা ধ্বংস করে দিয়েছে।",নরমতা এবং আবেগ ছাড়া কেবল বর্বরতা এবং নিষ্ঠুরতা হবে। সমস্ত মহিলা নরম এবং সংবেদনশীল নয় এবং অনেক পুরুষের এই বৈশিষ্ট্য রয়েছে। এই সামাজিকভাবে নির্মিত লিঙ্গ প্রোফাইলগুলি স্থায়ী করার জন্য পুরুষতান্ত্রিক নিয়মগুলি বজায় রাখে যা পুরুষ এবং মহিলা উভয়কেই অত্যাচার করে।
10,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1,"তুমি কে? আমরা যোনি মিসান্ডারিস্টদের দ্বারা শক্তিশালী, সাদা পুরুষদের ক্ষতিগ্রস্থ করার চেষ্টা করে অসুস্থ। তারা কেবল vious র্ষা, অযোগ্য এবং অকেজো।",আপনি কী ভাবেন যে মহিলারা পুরুষদের প্রতি হিংসুক? সাদা পুরুষ হিসাবে আপনি কোন গুণাবলীর মূল্য দেন?
11,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1,"আমাকে হাসতে হাসতে বাধ্য করে, কেন বেশিরভাগ সাদা দেশে সাদাগুলি সর্বোচ্চ হওয়া উচিত নয়? কীভাবে কেউ সোমালিয়ার মতো কৃষ্ণাঙ্গ দেশগুলিতে কালো আধিপত্য সম্পর্কে বিলাপ করছে না? নাকি মেক্সিকান আধিপত্য? নাকি ভারতীয় আধিপত্য? কেবল আমরা এই চোদার বুলশিট সহ্য করি।",কেন আমাদের আধিপত্য দরকার? আমরা সকলেই God শ্বরের চোখে সমানভাবে তৈরি হয়েছি।
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1,একটি গরু এবং হলোকাস্টের মধ্যে পার্থক্য কী? আপনি 70 বছর পরে গরু দুধ বন্ধ করা বন্ধ করুন।,মানবজাতির ইতিহাসের সবচেয়ে ভয়াবহ ঘটনায় যারা ভোগ করেছেন তাদের প্রতি আমাদের শ্রদ্ধাশীল ও সহানুভূতিশীল হওয়া উচিত ... আমি মনে করি এটি চিরকাল মনে রাখা উচিত!
13,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1,আমরা যখন হাজার হাজার বছর ধরে তৈরি করেছি এবং রক্ষণাবেক্ষণ করেছি যে সভ্যতায় আমরা নারীদের ভোট/হস্তক্ষেপ করার অনুমতি দিয়েছিলাম তখন আমরা ভেঙে যেতে শুরু করি। একটি সম্পূর্ণ ভিন্ন শক্তি এবং চিন্তার ধরণ। তারা দুর্বল এবং আমাদের সমাজকে তাদের আবেগগতভাবে নরম স্তরে নামিয়ে আনে।,"কে 'আমরা', অবশ্যই এটি পুরুষ এবং মহিলা একসাথে কাজ করছেন যারা সভ্যতা তৈরি করেছিলেন? আপনি কেন 'নরম' হওয়া একটি সমস্যা বলে মনে করেন? প্রত্যেকে তাদের আবেগের অধিকারী, এবং পুরুষদের 'মানুষ' করতে হবে না।"
14,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1,"ইহুদিরা তাদের জন্য অঞ্চলগুলি বন্ধ করতে পছন্দ করে, যেখানে কোনও ইহুদি যেতে অনুমতি দেয় না, একই সাথে তাদের বিচারকরা সাদা পাড়াগুলি সামাজিক আবাসন দিয়ে ভরাট করে।",যা পরামর্শ দেয় যে সাদা লোকেরা নিজের জন্য অঞ্চলগুলি বন্ধ করতে পছন্দ করে ...
15,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,JEWS,V1,সংখ্যালঘুরা সাদা লোকদের কাছ থেকে সম্পদ এবং ক্ষমতা ছিন্ন করার জন্য ভোট দেয় এবং তারা জে*ডাব্লুএস দ্বারা এটি করার জন্য সংগঠিত হয়।,আপনার প্রমাণ কোথায়?
16,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts?,JEWS,V1,"ইস্রায়েল, জায়নিজম এবং আমেরিকার ইহুদিদের আধিপত্যবাদী নিয়ন্ত্রণ হ'ল বিশ্বের সন্ত্রাসবাদ, অস্থিরতা এবং সংঘাতের প্রধান কারণ। অন্যান্য সমস্ত তত্ত্বগুলি এই চূড়ান্ত সত্য থেকে ডাইভারশন।",সত্য কোথায়?
17,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,JEWS,V1,"ইহুদিরা করেছে: ইউএসএস লিবার্টি অ্যাটাক, দ্য কিং ডেভিড হোটেল অ্যাটাক, নিউ ইয়র্ক 9/11, লন্ডন 7/7",সত্য কোথায়?
18,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this?,JEWS,V1,"জায়নিস্ট উগ্রবাদীরা জেরুজালেমে ষড়যন্ত্র করে। তাদের উদ্দেশ্যগুলি হ'ল বিশৃঙ্খলা, হত্যাযজ্ঞ, হত্যা, আরও শরণার্থী তৈরি করা এবং ইউরোপকে ধ্বংস করা।",এটি দাবি করার জন্য আপনার প্রমাণ কী?
19,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1,যদি আমাদের পুরো শাসক শ্রেণিতে জে-নিয়ন্ত্রিত পেডোফিলগুলি থাকে? ইহা অনেক কিছুই ব্যাখ্যা করে।,এটা কি ব্যাখ্যা করবে? এই মন্তব্যটি খুব অস্পষ্ট আমি ভাবছি যদি আপনার এমন কোনও তথ্য থাকে যা আপনাকে এটি অবাক করে তোলে।
20,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,JEWS,V1,গ্লোবাল ইহুদি ব্রেক্সিট চায়নি এবং এটি নাশকতার জন্য যথাসাধ্য চেষ্টা করছে।,এটা চিন্তা করছো কেন? এটিকে ব্যাক আপ করার জন্য আপনার কি কোনও তথ্য আছে?
22,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",We do have to choose. It's ok to accept them both.,other,V1,"একজন আমেরিকান ইহুদি, ঠিক একজন মুসলিমের মতোই একজন বহিরাগত, তাদের জন্মের গোত্রের প্রতি অনুগত, সাংস্কৃতিক, রাজনৈতিক এবং সামাজিক রীতিনীতিগুলিকে বিকৃত করার জন্য গ্রুপের সদস্য হিসাবে পোজ দিচ্ছেন। আমাদের বেছে নিতে হবে না, তাদের উভয়কে ঘৃণা করা ঠিক আছে।",আমাদের বেছে নিতে হবে। তাদের উভয়কেই গ্রহণ করা ঠিক আছে।
23,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","We can choose not to hate, and start to build bridges so we understand each other.",other,V1,"একজন আমেরিকান ইহুদি, ঠিক একজন মুসলিমের মতোই একজন বহিরাগত, তাদের জন্মের গোত্রের প্রতি অনুগত, সাংস্কৃতিক, রাজনৈতিক এবং সামাজিক রীতিনীতিগুলিকে বিকৃত করার জন্য গ্রুপের সদস্য হিসাবে পোজ দিচ্ছেন। আমাদের বেছে নিতে হবে না, তাদের উভয়কে ঘৃণা করা ঠিক আছে।",আমরা ঘৃণা না করা বেছে নিতে পারি এবং সেতুগুলি তৈরি করা শুরু করতে পারি যাতে আমরা একে অপরকে বুঝতে পারি।
24,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,V1,"যুক্তরাজ্যের শিক্ষা সচিব: ‘৪ বছর বয়সের সমস্ত শিশুদের একই যৌন সম্পর্কের বিষয়ে বাধ্যতামূলক পাঠ থাকবে।’ - এটি শিক্ষার বিষয়ে নয়, এটি স্বেচ্ছায় বিভ্রান্তিকর এবং বাচ্চাদের অন্তর্ভুক্ত করা এবং তাদের ব্যক্তিত্ব বিকাশ থেকে বিরত রাখার বিষয়ে।","সময় বাড়ার সাথে সাথে আমরা সর্বদা বিকাশ করি এবং একই যৌন সম্পর্কগুলি এখন বিশ্বের একটি অংশ, কেন আমরা আমাদের বাচ্চাদের বিভিন্ন জীবনযাত্রায় শিক্ষিত করব না?"
25,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN,V1,"তুমি কে? আমরা যোনি মিসানড্রিস্টদের সাদা শক্তিশালী মেককে ক্ষুন্ন করার চেষ্টা করে গামিকুল অসুস্থ, যখন তারা নিজেরাই কেবল vious র্ষা, অযোগ্য এবং অকেজো।","তাদের মন খারাপ করে বা কথা বলতে? হ্যাঁ, মহিলাদের মন রয়েছে এবং তারা পুরুষদের পাশাপাশি কাজ করে।"
27,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1,যেহেতু যৌন অঙ্গ হিসাবে মলদ্বারকে গালি দেওয়া একটি ‘স্মৃতিসৌধীয় কৃতিত্ব’ ছিল? এটি রাজ্য কার্যকর সমকামিতা! হতে পারে আমাদের আমাদের মূলমন্ত্রটি ‘সুদ ও সোডমিতে আমরা বিশ্বাস করি (বতসোয়ানা সমকামিতা ডিক্রিমিনালাইজ করার জবাবে) পরিবর্তন করা উচিত),আমরা যে অনুশীলনগুলিতে অংশ নিই না তা চিনতে এবং গ্রহণ করার জন্য রাষ্ট্রীয় তথ্য নয়। এটি কেবল তথ্য উল্লেখ করে এবং বিভিন্ন পছন্দ রয়েছে এমন লোকদের উপর অত্যাচার বন্ধ করে দিচ্ছে।
28,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,V1,"এ কারণেই মহিলারা রাজনীতিতে অন্তর্ভুক্ত নন, যদি কোনও ব্যক্তি তাদের মতো অভিযোগ করে, তবে তাকে কাপুরুষ বলা হবে এবং চাকরি থেকে নরককে বের করে আনতে বলা হবে। সমতা একটি মিথ্যা এবং নারীবাদ যে কোনও সভ্যতার মৃত্যুদণ্ড।","আরও ইতিবাচক রাজনৈতিক পরিবেশ থাকা, অন্তর্ভুক্তি এবং সমস্ত ধরণের লোকের প্রতিনিধিত্ব করা প্রয়োজনীয়, সুতরাং মহিলারা রাজনীতিতে অন্তর্ভুক্ত হন"
30,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+,V1,"যুক্তরাজ্যের শিক্ষা সচিব: ‘৪ বছর বয়সের সমস্ত শিশুদের একই যৌন সম্পর্কের বিষয়ে বাধ্যতামূলক পাঠ থাকবে।’ - এটি শিক্ষার বিষয়ে নয়, এটি স্বেচ্ছায় বিভ্রান্তিকর এবং বাচ্চাদের অন্তর্ভুক্ত করা এবং তাদের ব্যক্তিত্ব বিকাশ থেকে বিরত রাখার বিষয়ে।",এটি শিশুদের তারা যে পৃথিবীতে বাস করে সে সম্পর্কে শেখানো এবং অন্যদের সাথে তাদের সহায়তা করার বিষয়ে।
31,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",MIGRANTS,V1,পাকিস্তান: 202 মিলিয়ন নাইজেরিয়া: 193 মিলিয়ন বাংলাদেশ: 165 মিলিয়ন ইথিওপিয়া: 107 মিলিয়ন কঙ্গো: 84 মিলিয়ন গ্রেট ব্রিটেন: 66 মিলিয়ন 'জাতিগত সংখ্যালঘু' আমাকে হাসায় না!,"এই গোষ্ঠীগুলি ব্রিটিশ ভাষায় সংখ্যালঘু হতে থাকে। যেভাবেই হোক, প্রত্যেকে শ্রদ্ধা ও সুরক্ষা এবং মানবাধিকারের দাবিদার।"
32,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS,V1,পাকিস্তান: 202 মিলিয়ন নাইজেরিয়া: 193 মিলিয়ন বাংলাদেশ: 165 মিলিয়ন ইথিওপিয়া: 107 মিলিয়ন কঙ্গো: 84 মিলিয়ন গ্রেট ব্রিটেন: 66 মিলিয়ন 'জাতিগত সংখ্যালঘু' আমাকে হাসায় না!,"এগুলি জাতিগত গোষ্ঠী নয়, দেশগুলির সংখ্যা।"
