ids,annotatorId,texts,counterSpeechs,counterSpeechTypes,textTypes,hatespeech_trans,counterspeech_trans
1320638564594556929,A1K5CHKFJJ7IF8,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस",हम सबको को पता है की लोग सत्ता में आने के लिए वादे करते है तथा दूसरी पार्टी की कमिया गिनवाते है। यह प्रक्रिया शुरू से ही चलती आ रही है तो जनता को जागरूक होकर सही नेता चुनना चाहिए। ताकि लोगो के दोगलेपन से बचा जा सके।,['Hypocrisy'],Hate,#Congress_co_satta_ in_a_l।,"আমরা সকলেই জানি যে লোকেরা ক্ষমতায় আসার এবং অন্য পক্ষের ত্রুটিগুলি গণনা করার প্রতিশ্রুতি দেয়। যদি এই প্রক্রিয়াটি প্রথম থেকেই চলছে, তবে জনসাধারণকে সচেতন হওয়া উচিত এবং সঠিক নেতা বেছে নেওয়া উচিত। যাতে মানুষ এড়ানো যায়।"
1320638564594556929,A1K5CHKFJJ7IF8,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस","बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना अनुचित गतिविधिया है इनको इतना इस्तेमाल कर के जनता में तनाव बढ़ेगा।",['Warning-of-Consequences'],Hate,#Congress_co_satta_ in_a_l।,"ধর্ষণ, পিকেটিং, সহিংসতা, পাকিস্তান, চীন, মিথ্যা, প্রতারণা, হিন্দু, মুসলিম, নকশালবাদ সন্ত্রাসবাদ, বামপন্থী, মানুষ এবং কৃষকরা অন্যায় কার্যক্রম, এগুলি ব্যবহার করে জনসাধারণের মধ্যে উত্তেজনা বাড়িয়ে তুলবে।"
1320638564594556929,A3G1FS1OIFEDKD,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस",आपने बहुत सारे दावे किए हैं।  क्या आप सबूत दे सकते हैं।  नहीं तो आप भी भीड़ को भड़काने की कोशिश कर रहे हैं।,['Hypocrisy'],Hate,#Congress_co_satta_ in_a_l।,আপনি অনেক দাবি করেছেন। আপনি প্রমাণ দিতে পারেন অন্যথায় আপনি ভিড়কে উস্কে দেওয়ার চেষ্টা করছেন।
1320638564594556929,A3G1FS1OIFEDKD,"#कांग्रेस_को_सत्ता_में_आने_के_लिए_बस_इन_चीज़ो_का_ही_सहारा_है  बलात्कार,धरना,हिंसा,पाकिस्तान,चीन,झूठ,धोखा,हिंदू,मुस्लिम,नक्सलवाद आतंकवाद,वामपंथी,जनता व किसानों को भड़काना   राहुल गाँधी को चीन,पाकिस्तान से प्रियंका गाँधी को बलात्कार से सोनिया उर्फ़ इटालियन रंडी को अर्थवयवस्था से आस",किसी व्यक्ति या राजनीतिक दल के खिलाफ अभद्र भाषा और नाम बदनाम करना बहुत गलत है।,"['Affliation', 'Shaming']",Hate,#Congress_co_satta_ in_a_l।,কোনও ব্যক্তি বা রাজনৈতিক দলের বিরুদ্ধে অশ্লীল ভাষা এবং নামকে অসম্মান করা খুব ভুল।
1326155226412314629,A3G1FS1OIFEDKD,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप बिना सबूत के आरोप लगा रहे हैं। कृपया किसी भी परेशानी को भड़काने से पहले शांत हो जाएं।,['Warning-of-Consequences'],Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",আপনি প্রমাণ ছাড়াই অভিযোগ করছেন। কোনও সমস্যা উস্কে দেওয়ার আগে দয়া করে শান্ত হন।
1326155226412314629,A3G1FS1OIFEDKD,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप एक कंपनी के लिए नफरत से भरे हुए हैं। जब अच्छे सौदे हों तो लोग खरीदना क्यों बंद कर दें। समझाने की परवाह?,"['Hypocrisy', 'Shaming']",Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে","আপনি একটি সংস্থার জন্য ঘৃণা পূর্ণ। যখন ভাল চুক্তি হয়, লোকেরা কেন কেনা বন্ধ করবে? ব্যাখ্যা করার যত্ন?"
1326155226412314629,A1K5CHKFJJ7IF8,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",आप अपने शब्द सुधार लीजिये वरना सबसे पहले आपका बहिष्कार हो जायेगा।,['Shaming'],Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",আপনি আপনার শব্দের উন্নতি করুন অন্যথায় আপনি প্রথমে বয়কট করা হবে।
1326155226412314629,A1K5CHKFJJ7IF8,"<user> रंडी के बच्चे हैं ऐमज़ॉन वाले, हिंदू इसका बहिष्कार करेंगे",अनुचित बात बोल के विवाद को बुलावा दे रहे है।,['Warning-of-Consequences'],Hate,"<user> রেন্ডির বাচ্চারা অ্যামাজন, হিন্দুরা এটি বয়কট করবে",অনুপযুক্ত জিনিসগুলি কথা বলার বিতর্ককে ডেকে আনছে।
1317839390429736960,A3D81Z9GMEKTJQ,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,आपके ट्वीट पवित्र मदरसों के प्रति अत्यधिक आपत्तिजनक हैं। मैं आपसे विनम्र निवेदन करता हूं कि इस तरह के ट्वीट पोस्ट करने से बचें।,['Empathy'],Hate,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,আপনার টুইটগুলি পবিত্র মাদ্রাসাতে অত্যন্ত আপত্তিজনক। আমি বিনীতভাবে আপনাকে এই জাতীয় টুইটগুলি পোস্ট করা এড়াতে অনুরোধ করছি।
1317839390429736960,A3D81Z9GMEKTJQ,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,धार्मिक संस्थाओं का सम्मान किया जाना चाहिए और आपके ट्वीट मुस्लिम समुदाय के प्रति अत्यधिक अपमानजनक और आपत्तिजनक हैं। मेरा सुझाव है कि आप शांत हो जाएं और इस तरह के कृत्यों में भाग लेने से बचें।,['Shaming'],Hate,<user> <user> #सपोर्ट_कंगना #बॉयकॉट_बॉलीवुड_इंडस्ट्री  #Terrorism_In_Madarsa #इस्लामिक_आतंकवाद #कांग्रेस_हटाओ_देश_बचाओ #मेरे_मन्दिर_मुझे_वापस_दो #बुर्का_बन_करो #boycot_big_boss #जागो_हिन्दू_जागो #बेटियो_को_दुर्गा_बनाओ_नचनिया_रंडी_नहीं #हिंदू_हिंदुस्तान #जिहाद_और_जिहादी_का_बहिष्कार #सपोर्ट_लोकल,ধর্মীয় প্রতিষ্ঠানগুলিকে সম্মান করা উচিত এবং আপনার টুইটগুলি মুসলিম সম্প্রদায়ের কাছে অত্যন্ত অবমাননাকর এবং আপত্তিজনক। আমি আপনাকে পরামর্শ দিচ্ছি যে আপনি শান্ত হন এবং এই জাতীয় ক্রিয়াকলাপে অংশ নেওয়া এড়াতে পারেন।
