INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,HATE_SPEECH_Hindi,Counter_SPEECH_Hindi
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1,हो सकता है कि संयुक्त राष्ट्र उन एशियाई और अफ्रीकी देशों से बात कर सकता है जो जलवायु परिवर्तन के बारे में इस बकवास पर जोर देने के बजाय महासागरों में 90%+ प्रदूषण के लिए जिम्मेदार हैं।,"आप सही हैं, महासागर प्रदूषण उन मुख्य पर्यावरणीय समस्याओं में से एक है, जो हमारे सामने हैं, हालांकि, जलवायु परिवर्तन एक वैश्विक समस्या है, और सभी को इसका मुकाबला करने में मदद करनी चाहिए, चाहे आप जिस दुनिया में हैं, वहां कोई फर्क नहीं पड़ता!"
1,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",You'd rather be nuked then?,JEWS,V1,"‘जूस (यहूदी) बदतर हैं कि Nukes। '1945 और वर्तमान दिन में डेट्रायट की तस्वीरों के विपरीत, हिरोशिमा 1945 और वर्तमान दिन में एक मेम के लिए कैप्शन।'",आप बल्कि nuked हो जाएगा?
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1,ब्रिटेन के लाभ 400k से अधिक के साथ 5 वर्षों में 41% की छलांग लगाते हैं। यह बकवास रुकने को मिला है।,"आप सरकारी खर्च के बारे में चिंतित लग रहे हैं ... यह वास्तव में दिखाया गया है कि, समय के साथ, प्रवासन सरकारी खर्च पर दबाव कम करता है - क्योंकि प्रवासियों को युवा वयस्क श्रमिक होने की अधिक संभावना है। https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-emmigration-in-the-uk/"
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1,"यहूदी देशभक्त नहीं हो सकते, क्योंकि उनकी निष्ठा हमेशा इज़राइल राज्य के लिए होगी।","आप माता -पिता और दादा -दादी को कहीं और पैदा कर सकते हैं, और अभी भी उस देश के लिए एक देशभक्त हो सकते हैं जिसमें आप पैदा हुए थे।"
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1,"इज़राइल, ज़ायोनीवाद और अमेरिका का यहूदी वर्चस्ववादी नियंत्रण दुनिया में आतंकवाद, अस्थिरता और संघर्ष के मुख्य कारण हैं। अन्य सभी सिद्धांत इस परम सत्य से विविधताएं हैं।","क्या आप कई अलग -अलग देशों से इसके उपनिवेशवाद और विदेशों में पश्चिमी हस्तक्षेप के परिणाम के परिणामस्वरूप नहीं कहेंगे, जिसके कारण बहुत अधिक कट्टरपंथी और अतिवाद हुआ?"
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1,"महिलाएं मूल रूप से बचपन की तरह हैं, वे इस तरह से अपने जीवन के अधिकांश हिस्सों में बनी हुई हैं। नरम और भावनात्मक। इसने हमारी एक बार महान पितृसत्तात्मक सभ्यताओं को तबाह कर दिया है।",क्या आप उन महिलाओं को एक ही बात कहेंगे जिन्होंने आपको जीवन दिया या आपको अस्पताल में इलाज किया या आपको स्कूल में सिखाया?
6,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1,ब्रिटेन के लाभ 400k से अधिक के साथ 5 वर्षों में 41% की छलांग लगाते हैं। यह बकवास रुकने को मिला है।,"यह देखने के लिए कि ""विदेशियों"" करों के मामले में ब्रिटेन को कितना पैसा दे रहे हैं, यह देखने के लिए अंतरंग होगा। यह देखना मुश्किल नहीं है कि हमें उनके लिए कितना धन्यवाद देना है। इसके बजाय कर चोरी को रोकने पर ध्यान केंद्रित करने के लिए सभी के लिए फायदेमंद होगा।"
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",POC,V1,"रेस एक सामाजिक निर्माण है, और यदि आपको इन दो महिलाओं के बीच कोई अंतर दिखाई देता है, तो यह इसलिए है क्योंकि आपको मानसिक बीमारी है। [एक गोरा दिखाते हुए, यूरोपीय महिला एथलीट, एक अफ्रीकी महिला की एक छवि के खिलाफ एक होंठ प्लेट पहने हुए juxtaposed]","महिलाएं दुनिया भर में महिलाएं हैं, पूर्ण विराम।"
8,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Without women there would be no men.,WOMEN,V1,"तुम कौन हो? हम योनि के दुराचारियों के बारे में बीमार हैं, जो सफेद शक्तिशाली बनाने की कोशिश कर रहे हैं, जब वे खुद सिर्फ ईर्ष्यालु, अक्षम और बेकार होते हैं।",महिलाओं के बिना कोई पुरुष नहीं होता।
9,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,WOMEN,V1,"महिलाएं मूल रूप से बचपन की तरह हैं, वे इस तरह से अपने जीवन के अधिकांश हिस्सों में बनी हुई हैं। नरम और भावनात्मक। इसने हमारी एक बार महान पितृसत्तात्मक सभ्यताओं को तबाह कर दिया है।",कोमलता और भावनाओं के बिना बस क्रूरता और क्रूरता होगी। सभी महिलाएं नरम और भावनात्मक नहीं हैं और कई पुरुषों में ये विशेषताएं हैं। इन सामाजिक रूप से निर्मित लिंग प्रोफाइल को समाप्त करने के लिए पितृसत्तात्मक मानदंडों को बनाए रखता है जो पुरुषों और महिलाओं दोनों पर अत्याचार करते हैं।
