prefix,input_text,target_text
counterspeech,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,আপনি সরকারী ব্যয় নিয়ে উদ্বিগ্ন বলে মনে করছেন ... এটি আসলে দেখানো হয়েছে যে সময়ের সাথে সাথে মাইগ্রেশন সরকারী ব্যয়ের উপর চাপ হ্রাস করে - কারণ অভিবাসীরা তরুণ প্রাপ্তবয়স্ক কর্মী হওয়ার সম্ভাবনা বেশি থাকে। https://migrationobservery.ox.ac.uk/resources/briefings/the-fiscal-impact-of-imigration-in-the-uk/
counterspeech,"মহিলারা মূলত শিশুদের মতো, তারা তাদের জীবনের বেশিরভাগ সময় এভাবে থাকে। নরম এবং সংবেদনশীল। এটি আমাদের একসময় মহান পিতৃতান্ত্রিক সভ্যতা ধ্বংস করে দিয়েছে।",আপনি কি সেই মহিলাদের কাছে একই কথা বলবেন যারা আপনাকে জীবন দিয়েছে বা আপনাকে হাসপাতালে আচরণ করেছে বা আপনাকে স্কুলে শিখিয়েছে?
counterspeech,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,"""বিদেশীরা"" করের ক্ষেত্রে যুক্তরাজ্যকে কত টাকা দিচ্ছে তা দেখার জন্য অন্তর্বর্তী হবে। আমাদের তাদের জন্য কতটা ধন্যবাদ জানাতে হবে তা দেখতে অসুবিধা হয় না। পরিবর্তে ট্যাক্স ফাঁকি দেওয়া বন্ধ করার দিকে মনোনিবেশ করার জন্য প্রত্যেকের পক্ষে উপকারী।"
counterspeech,"মহিলারা মূলত শিশুদের মতো, তারা তাদের জীবনের বেশিরভাগ সময় এভাবে থাকে। নরম এবং সংবেদনশীল। এটি আমাদের একসময় মহান পিতৃতান্ত্রিক সভ্যতা ধ্বংস করে দিয়েছে।",নরমতা এবং আবেগ ছাড়া কেবল বর্বরতা এবং নিষ্ঠুরতা হবে। সমস্ত মহিলা নরম এবং সংবেদনশীল নয় এবং অনেক পুরুষের এই বৈশিষ্ট্য রয়েছে। এই সামাজিকভাবে নির্মিত লিঙ্গ প্রোফাইলগুলি স্থায়ী করার জন্য পুরুষতান্ত্রিক নিয়মগুলি বজায় রাখে যা পুরুষ এবং মহিলা উভয়কেই অত্যাচার করে।
counterspeech,"তুমি কে? আমরা যোনি মিসান্ডারিস্টদের দ্বারা শক্তিশালী, সাদা পুরুষদের ক্ষতিগ্রস্থ করার চেষ্টা করে অসুস্থ। তারা কেবল vious র্ষা, অযোগ্য এবং অকেজো।",আপনি কী ভাবেন যে মহিলারা পুরুষদের প্রতি হিংসুক? সাদা পুরুষ হিসাবে আপনি কোন গুণাবলীর মূল্য দেন?
counterspeech,"আমাকে হাসতে হাসতে বাধ্য করে, কেন বেশিরভাগ সাদা দেশে সাদাগুলি সর্বোচ্চ হওয়া উচিত নয়? কীভাবে কেউ সোমালিয়ার মতো কৃষ্ণাঙ্গ দেশগুলিতে কালো আধিপত্য সম্পর্কে বিলাপ করছে না? নাকি মেক্সিকান আধিপত্য? নাকি ভারতীয় আধিপত্য? কেবল আমরা এই চোদার বুলশিট সহ্য করি।",কেন আমাদের আধিপত্য দরকার? আমরা সকলেই God শ্বরের চোখে সমানভাবে তৈরি হয়েছি।
counterspeech,একটি গরু এবং হলোকাস্টের মধ্যে পার্থক্য কী? আপনি 70 বছর পরে গরু দুধ বন্ধ করা বন্ধ করুন।,মানবজাতির ইতিহাসের সবচেয়ে ভয়াবহ ঘটনায় যারা ভোগ করেছেন তাদের প্রতি আমাদের শ্রদ্ধাশীল ও সহানুভূতিশীল হওয়া উচিত ... আমি মনে করি এটি চিরকাল মনে রাখা উচিত!
counterspeech,আমরা যখন হাজার হাজার বছর ধরে তৈরি করেছি এবং রক্ষণাবেক্ষণ করেছি যে সভ্যতায় আমরা নারীদের ভোট/হস্তক্ষেপ করার অনুমতি দিয়েছিলাম তখন আমরা ভেঙে যেতে শুরু করি। একটি সম্পূর্ণ ভিন্ন শক্তি এবং চিন্তার ধরণ। তারা দুর্বল এবং আমাদের সমাজকে তাদের আবেগগতভাবে নরম স্তরে নামিয়ে আনে।,"কে 'আমরা', অবশ্যই এটি পুরুষ এবং মহিলা একসাথে কাজ করছেন যারা সভ্যতা তৈরি করেছিলেন? আপনি কেন 'নরম' হওয়া একটি সমস্যা বলে মনে করেন? প্রত্যেকে তাদের আবেগের অধিকারী, এবং পুরুষদের 'মানুষ' করতে হবে না।"
counterspeech,"ইস্রায়েল, জায়নিজম এবং আমেরিকার ইহুদিদের আধিপত্যবাদী নিয়ন্ত্রণ হ'ল বিশ্বের সন্ত্রাসবাদ, অস্থিরতা এবং সংঘাতের প্রধান কারণ। অন্যান্য সমস্ত তত্ত্বগুলি এই চূড়ান্ত সত্য থেকে ডাইভারশন।",সত্য কোথায়?
counterspeech,"ইহুদিরা করেছে: ইউএসএস লিবার্টি অ্যাটাক, দ্য কিং ডেভিড হোটেল অ্যাটাক, নিউ ইয়র্ক 9/11, লন্ডন 7/7",সত্য কোথায়?
