prefix,input_text,target_text
counterspeech,हो सकता है कि संयुक्त राष्ट्र उन एशियाई और अफ्रीकी देशों से बात कर सकता है जो जलवायु परिवर्तन के बारे में इस बकवास पर जोर देने के बजाय महासागरों में 90%+ प्रदूषण के लिए जिम्मेदार हैं।,"आप सही हैं, महासागर प्रदूषण उन मुख्य पर्यावरणीय समस्याओं में से एक है, जो हमारे सामने हैं, हालांकि, जलवायु परिवर्तन एक वैश्विक समस्या है, और सभी को इसका मुकाबला करने में मदद करनी चाहिए, चाहे आप जिस दुनिया में हैं, वहां कोई फर्क नहीं पड़ता!"
counterspeech,ब्रिटेन के लाभ 400k से अधिक के साथ 5 वर्षों में 41% की छलांग लगाते हैं। यह बकवास रुकने को मिला है।,"आप सरकारी खर्च के बारे में चिंतित लग रहे हैं ... यह वास्तव में दिखाया गया है कि, समय के साथ, प्रवासन सरकारी खर्च पर दबाव कम करता है - क्योंकि प्रवासियों को युवा वयस्क श्रमिक होने की अधिक संभावना है। https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-emmigration-in-the-uk/"
counterspeech,"यहूदी देशभक्त नहीं हो सकते, क्योंकि उनकी निष्ठा हमेशा इज़राइल राज्य के लिए होगी।","आप माता -पिता और दादा -दादी को कहीं और पैदा कर सकते हैं, और अभी भी उस देश के लिए एक देशभक्त हो सकते हैं जिसमें आप पैदा हुए थे।"
counterspeech,"इज़राइल, ज़ायोनीवाद और अमेरिका का यहूदी वर्चस्ववादी नियंत्रण दुनिया में आतंकवाद, अस्थिरता और संघर्ष के मुख्य कारण हैं। अन्य सभी सिद्धांत इस परम सत्य से विविधताएं हैं।","क्या आप कई अलग -अलग देशों से इसके उपनिवेशवाद और विदेशों में पश्चिमी हस्तक्षेप के परिणाम के परिणामस्वरूप नहीं कहेंगे, जिसके कारण बहुत अधिक कट्टरपंथी और अतिवाद हुआ?"
counterspeech,"महिलाएं मूल रूप से बचपन की तरह हैं, वे इस तरह से अपने जीवन के अधिकांश हिस्सों में बनी हुई हैं। नरम और भावनात्मक। इसने हमारी एक बार महान पितृसत्तात्मक सभ्यताओं को तबाह कर दिया है।",क्या आप उन महिलाओं को एक ही बात कहेंगे जिन्होंने आपको जीवन दिया या आपको अस्पताल में इलाज किया या आपको स्कूल में सिखाया?
counterspeech,ब्रिटेन के लाभ 400k से अधिक के साथ 5 वर्षों में 41% की छलांग लगाते हैं। यह बकवास रुकने को मिला है।,"यह देखने के लिए कि ""विदेशियों"" करों के मामले में ब्रिटेन को कितना पैसा दे रहे हैं, यह देखने के लिए अंतरंग होगा। यह देखना मुश्किल नहीं है कि हमें उनके लिए कितना धन्यवाद देना है। इसके बजाय कर चोरी को रोकने पर ध्यान केंद्रित करने के लिए सभी के लिए फायदेमंद होगा।"
counterspeech,"रेस एक सामाजिक निर्माण है, और यदि आपको इन दो महिलाओं के बीच कोई अंतर दिखाई देता है, तो यह इसलिए है क्योंकि आपको मानसिक बीमारी है। [एक गोरा दिखाते हुए, यूरोपीय महिला एथलीट, एक अफ्रीकी महिला की एक छवि के खिलाफ एक होंठ प्लेट पहने हुए juxtaposed]","महिलाएं दुनिया भर में महिलाएं हैं, पूर्ण विराम।"
counterspeech,"तुम कौन हो? हम योनि के दुराचारियों के बारे में बीमार हैं, जो सफेद शक्तिशाली बनाने की कोशिश कर रहे हैं, जब वे खुद सिर्फ ईर्ष्यालु, अक्षम और बेकार होते हैं।",महिलाओं के बिना कोई पुरुष नहीं होता।
counterspeech,"महिलाएं मूल रूप से बचपन की तरह हैं, वे इस तरह से अपने जीवन के अधिकांश हिस्सों में बनी हुई हैं। नरम और भावनात्मक। इसने हमारी एक बार महान पितृसत्तात्मक सभ्यताओं को तबाह कर दिया है।",कोमलता और भावनाओं के बिना बस क्रूरता और क्रूरता होगी। सभी महिलाएं नरम और भावनात्मक नहीं हैं और कई पुरुषों में ये विशेषताएं हैं। इन सामाजिक रूप से निर्मित लिंग प्रोफाइल को समाप्त करने के लिए पितृसत्तात्मक मानदंडों को बनाए रखता है जो पुरुषों और महिलाओं दोनों पर अत्याचार करते हैं।
counterspeech,"तुम कौन हो? हम शक्तिशाली, श्वेत पुरुषों को कमजोर करने की कोशिश कर रहे योनि के दुष्कर्मों से गुजरते हैं। वे सिर्फ ईर्ष्यालु, अक्षम और बेकार हैं।",#VALUE!
counterspeech,"मुझे हंसी कमबख्त करता है, ज्यादातर सफेद देश में गोरे सर्वोच्च क्यों नहीं होना चाहिए? सोमालिया जैसे अश्वेत देशों में काले वर्चस्व के बारे में कोई भी कैसे विलाप नहीं कर रहा है? या मैक्सिकन वर्चस्व? या भारतीय वर्चस्व? केवल हम इस कमबख्त बकवास के साथ डालते हैं।",हमें वर्चस्व की आवश्यकता क्यों है? हम सभी भगवान की नजर में समान हैं।
counterspeech,गाय और प्रलय के बीच क्या अंतर है? आप 70 साल बाद गाय को दूध पाना बंद कर देते हैं।,"हमें उन लोगों के प्रति सम्मानजनक और दयालु होना चाहिए, जो मानव जाति के इतिहास में सबसे भयावह घटना में से एक में पीड़ित थे ... मुझे लगता है कि इसे हमेशा के लिए याद किया जाना चाहिए!"
