counter_bloom_hindi_0 :  0.7185 0.6947 0.7031
counter_bloom_hindi_1 :  0.7205 0.6913 0.7019
counter_bloom_hindi_2 :  0.7145 0.6926 0.6999
counter_bloom_bengali_1 :  0.7377 0.6994 0.7162
counter_bloom_bengali_2 :  0.7451 0.7086 0.7245
counter_bloom_bengali_0 :  0.7407 0.7128 0.7248
counter_mt5_bengali_flax_2 :  0.7253 0.7178 0.7197
counter_mt5_bengali_flax_0 :  0.7292 0.7136 0.7197
counter_mt5_bengali_flax_1 :  0.7303 0.7112 0.7192
counter_mt5_bengali_large_1 :  0.7327 0.7136 0.7214
counter_mt5_bengali_large_2 :  0.7345 0.7159 0.7234
counter_mt5_bengali_large_0 :  0.7344 0.7173 0.7241
counter_mt5_hindi_large_0 :  0.7054 0.6975 0.6983
counter_mt5_hindi_large_2 :  0.6998 0.7001 0.6967
counter_mt5_hindi_large_1 :  0.7044 0.7025 0.7
counter_mt5_hindi_doc2query_0 :  0.706 0.6967 0.6977
counter_mt5_hindi_doc2query_1 :  0.7113 0.696 0.6997
counter_mt5_hindi_doc2query_2 :  0.7018 0.6946 0.6942
counter_gpt2_bengali_0 :  0.6077 0.6456 0.6233
counter_gpt2_bengali_1 :  0.6175 0.6569 0.6344
counter_gpt2_bengali_2 :  0.6096 0.6426 0.6227
counter_gpt2_hindi_1 :  0.6428 0.6639 0.6495
counter_gpt2_hindi_2 :  0.5765 0.6042 0.5861
counter_gpt2_hindi_0 :  0.6233 0.656 0.6351
counter_mgpt_hindi_1 :  0.6278 0.6276 0.6243
counter_mgpt_hindi_2 :  0.6388 0.651 0.6415
counter_mgpt_hindi_0 :  0.6428 0.6408 0.6382
counter_mgpt_bengali_2 :  0.6657 0.6692 0.6655
counter_mgpt_bengali_0 :  0.6346 0.6255 0.6281
counter_mgpt_bengali_1 :  0.6311 0.6214 0.6242
