counter_bloom_hindi_0 :  0.7154 0.7011 0.7048
counter_bloom_hindi_1 :  0.7136 0.6994 0.7029
counter_bloom_hindi_2 :  0.7106 0.6944 0.6989
counter_bloom_bengali_1 :  0.7499 0.7149 0.7302
counter_bloom_bengali_2 :  0.7301 0.7158 0.7209
counter_bloom_bengali_0 :  0.7368 0.7155 0.7245
counter_mt5_bengali_flax_2 :  0.7237 0.7296 0.7253
counter_mt5_bengali_flax_0 :  0.7297 0.7257 0.7265
counter_mt5_bengali_flax_1 :  0.7344 0.7391 0.7356
counter_mt5_bengali_large_1 :  0.7437 0.7281 0.7344
counter_mt5_bengali_large_2 :  0.7382 0.7222 0.7288
counter_mt5_bengali_large_0 :  0.7371 0.7186 0.7264
counter_mt5_hindi_large_0 :  0.7147 0.703 0.7054
counter_mt5_hindi_large_2 :  0.7135 0.6958 0.7009
counter_mt5_hindi_large_1 :  0.7114 0.7025 0.7028
counter_mt5_hindi_doc2query_0 :  0.7164 0.7042 0.7069
counter_mt5_hindi_doc2query_1 :  0.7077 0.6951 0.6975
counter_mt5_hindi_doc2query_2 :  0.7055 0.6948 0.6963
counter_gpt2_bengali_0 :  0.6165 0.6672 0.6387
counter_gpt2_bengali_1 :  0.6227 0.6636 0.6402
counter_gpt2_bengali_2 :  0.6198 0.6574 0.6351
counter_gpt2_hindi_1 :  0.6419 0.6706 0.6517
counter_gpt2_hindi_2 :  0.636 0.6639 0.6463
counter_gpt2_hindi_0 :  0.618 0.6475 0.6281
counter_mgpt_hindi_1 :  0.6444 0.6479 0.6418
counter_mgpt_hindi_0 :  0.6573 0.6629 0.6564
counter_mgpt_hindi_2 :  0.6427 0.647 0.6408
counter_mgpt_bengali_1 :  0.6055 0.588 0.5942
counter_mgpt_bengali_0 :  0.603 0.5898 0.5943
counter_mgpt_bengali_2 :  0.6048 0.5865 0.5932
