Model :  Precision Recall F1-score
counter_bloom_hindi :  0.6036 0.6789 0.6356
counter_bloom_bengali :  0.5829 0.6809 0.6259
counter_mt5_hindi_doc2query_final :  0.7137 0.7168 0.7122
counter_mt5_hindi_large :  0.7189 0.7022 0.7067
counter_mt5_hindi_doc2query :  0.7121 0.7014 0.7025
counter_mt5_hindi_small :  0.6855 0.6987 0.6887
counter_mt5_bengali_flax_final :  0.719 0.7267 0.7215
counter_mt5_bengali_small_wo_params :  0.6581 0.6519 0.6537
counter_mt5_bengali_small :  0.6907 0.7119 0.6994
counter_mt5_bengali_large :  0.7494 0.7322 0.7395
counter_mt5_bengali_small_final :  0.723 0.7193 0.7196
counter_mt5_bengali_flax :  0.7258 0.733 0.7281
counter_gpt2_bengali_final :  0.6225 0.68 0.6469
counter_gpt2_bengali :  0.6379 0.6982 0.6646
counter_gpt2_suraj :  0.6587 0.6888 0.67
counter_gpt2_suraj_final :  0.662 0.7047 0.6799
counter_mgpt_hindi :  0.655 0.6652 0.6564
counter_mgpt_bengali :  0.6762 0.6875 0.6799
